Freq.	I(R9)
1.00000000000000e+01	(-4.00009435664873e+01dB,-4.48768947231670e-03°)
1.02329299228075e+01	(-4.00009428448768e+01dB,-4.81785951253576e-03°)
1.04712854805090e+01	(-4.00009421506076e+01dB,-5.15059175265001e-03°)
1.07151930523761e+01	(-4.00009414822101e+01dB,-5.48606209866800e-03°)
1.09647819614319e+01	(-4.00009408382694e+01dB,-5.82444794226761e-03°)
1.12201845430196e+01	(-4.00009402174217e+01dB,-6.16592825322856e-03°)
1.14815362149688e+01	(-4.00009396183529e+01dB,-6.51068367183559e-03°)
1.17489755493953e+01	(-4.00009390397942e+01dB,-6.85889660273627e-03°)
1.20226443461741e+01	(-4.00009384805203e+01dB,-7.21075130992473e-03°)
1.23026877081238e+01	(-4.00009379393465e+01dB,-7.56643401245173e-03°)
1.25892541179417e+01	(-4.00009374151265e+01dB,-7.92613298191956e-03°)
1.28824955169313e+01	(-4.00009369067499e+01dB,-8.29003864037050e-03°)
1.31825673855641e+01	(-4.00009364131396e+01dB,-8.65834366018014e-03°)
1.34896288259165e+01	(-4.00009359332498e+01dB,-9.03124306470613e-03°)
1.38038426460288e+01	(-4.00009354660635e+01dB,-9.40893433072991e-03°)
1.41253754462275e+01	(-4.00009350105910e+01dB,-9.79161749180823e-03°)
1.44543977074593e+01	(-4.00009345658670e+01dB,-1.01794952430186e-02°)
1.47910838816821e+01	(-4.00009341309492e+01dB,-1.05727730480559e-02°)
1.51356124843621e+01	(-4.00009337049155e+01dB,-1.09716592467494e-02°)
1.54881661891248e+01	(-4.00009332868632e+01dB,-1.13763651648862e-02°)
1.58489319246111e+01	(-4.00009328759060e+01dB,-1.17871052253460e-02°)
1.62181009735893e+01	(-4.00009324711726e+01dB,-1.22040970611754e-02°)
1.65958690743756e+01	(-4.00009320718053e+01dB,-1.26275616300644e-02°)
1.69824365246174e+01	(-4.00009316769575e+01dB,-1.30577233310890e-02°)
1.73780082874937e+01	(-4.00009312857920e+01dB,-1.34948101228890e-02°)
1.77827941003892e+01	(-4.00009308974796e+01dB,-1.39390536441416e-02°)
1.81970085860998e+01	(-4.00009305111968e+01dB,-1.43906893356458e-02°)
1.86208713666287e+01	(-4.00009301261246e+01dB,-1.48499565648851e-02°)
1.90546071796325e+01	(-4.00009297414466e+01dB,-1.53170987523415e-02°)
1.94984459975804e+01	(-4.00009293563473e+01dB,-1.57923635001516e-02°)
1.99526231496888e+01	(-4.00009289700097e+01dB,-1.62760027230067e-02°)
2.04173794466953e+01	(-4.00009285816147e+01dB,-1.67682727814691e-02°)
2.08929613085404e+01	(-4.00009281903389e+01dB,-1.72694346173680e-02°)
2.13796208950223e+01	(-4.00009277953522e+01dB,-1.77797538918675e-02°)
2.18776162394955e+01	(-4.00009273958171e+01dB,-1.82995011262743e-02°)
2.23872113856834e+01	(-4.00009269908865e+01dB,-1.88289518448178e-02°)
2.29086765276777e+01	(-4.00009265797013e+01dB,-1.93683867208802e-02°)
2.34422881531992e+01	(-4.00009261613894e+01dB,-1.99180917251285e-02°)
2.39883291901949e+01	(-4.00009257350641e+01dB,-2.04783582773508e-02°)
2.45470891568503e+01	(-4.00009252998208e+01dB,-2.10494834006410e-02°)
2.51188643150958e+01	(-4.00009248547364e+01dB,-2.16317698785763e-02°)
2.57039578276886e+01	(-4.00009243988673e+01dB,-2.22255264156818e-02°)
2.63026799189538e+01	(-4.00009239312461e+01dB,-2.28310678010037e-02°)
2.69153480392691e+01	(-4.00009234508815e+01dB,-2.34487150748761e-02°)
2.75422870333816e+01	(-4.00009229567540e+01dB,-2.40787956988705e-02°)
2.81838293126445e+01	(-4.00009224478163e+01dB,-2.47216437295790e-02°)
2.88403150312660e+01	(-4.00009219229884e+01dB,-2.53775999952912e-02°)
2.95120922666638e+01	(-4.00009213811573e+01dB,-2.60470122769026e-02°)
3.01995172040201e+01	(-4.00009208211736e+01dB,-2.67302354922128e-02°)
3.09029543251359e+01	(-4.00009202418498e+01dB,-2.74276318838155e-02°)
3.16227766016838e+01	(-4.00009196419569e+01dB,-2.81395712114324e-02°)
3.23593656929628e+01	(-4.00009190202225e+01dB,-2.88664309475595e-02°)
3.31131121482591e+01	(-4.00009183753281e+01dB,-2.96085964779616e-02°)
3.38844156139202e+01	(-4.00009177059055e+01dB,-3.03664613055995e-02°)
3.46736850452531e+01	(-4.00009170105348e+01dB,-3.11404272596756e-02°)
3.54813389233575e+01	(-4.00009162877413e+01dB,-3.19309047083137e-02°)
3.63078054770101e+01	(-4.00009155359914e+01dB,-3.27383127762462e-02°)
3.71535229097172e+01	(-4.00009147536914e+01dB,-3.35630795672554e-02°)
3.80189396320561e+01	(-4.00009139391813e+01dB,-3.44056423909604e-02°)
3.89045144994280e+01	(-4.00009130907335e+01dB,-3.52664479947070e-02°)
3.98107170553497e+01	(-4.00009122065484e+01dB,-3.61459528006727e-02°)
4.07380277804112e+01	(-4.00009112847503e+01dB,-3.70446231478086e-02°)
4.16869383470335e+01	(-4.00009103233846e+01dB,-3.79629355391226e-02°)
4.26579518801592e+01	(-4.00009093204113e+01dB,-3.89013768944992e-02°)
4.36515832240165e+01	(-4.00009082737035e+01dB,-3.98604448089429e-02°)
4.46683592150962e+01	(-4.00009071810409e+01dB,-4.08406478163118e-02°)
4.57088189614874e+01	(-4.00009060401056e+01dB,-4.18425056594865e-02°)
4.67735141287197e+01	(-4.00009048484777e+01dB,-4.28665495655910e-02°)
4.78630092322638e+01	(-4.00009036036297e+01dB,-4.39133225282224e-02°)
4.89778819368445e+01	(-4.00009023029206e+01dB,-4.49833795950913e-02°)
5.01187233627271e+01	(-4.00009009435919e+01dB,-4.60772881628630e-02°)
5.12861383991364e+01	(-4.00008995227605e+01dB,-4.71956282778696e-02°)
5.24807460249772e+01	(-4.00008980374118e+01dB,-4.83389929441245e-02°)
5.37031796370252e+01	(-4.00008964843956e+01dB,-4.95079884377324e-02°)
5.49540873857623e+01	(-4.00008948604181e+01dB,-5.07032346287747e-02°)
5.62341325190348e+01	(-4.00008931620338e+01dB,-5.19253653100168e-02°)
5.75439937337156e+01	(-4.00008913856409e+01dB,-5.31750285333798e-02°)
5.88843655355588e+01	(-4.00008895274708e+01dB,-5.44528869538872e-02°)
6.02559586074357e+01	(-4.00008875835824e+01dB,-5.57596181810824e-02°)
6.16595001861481e+01	(-4.00008855498523e+01dB,-5.70959151389756e-02°)
6.30957344480192e+01	(-4.00008834219667e+01dB,-5.84624864335448e-02°)
6.45654229034654e+01	(-4.00008811954119e+01dB,-5.98600567290097e-02°)
6.60693448007595e+01	(-4.00008788654650e+01dB,-6.12893671324111e-02°)
6.76082975391980e+01	(-4.00008764271839e+01dB,-6.27511755870367e-02°)
6.91830970918935e+01	(-4.00008738753969e+01dB,-6.42462572748236e-02°)
7.07945784384136e+01	(-4.00008712046907e+01dB,-6.57754050278690e-02°)
7.24435960074988e+01	(-4.00008684094007e+01dB,-6.73394297493099e-02°)
7.41310241300916e+01	(-4.00008654835973e+01dB,-6.89391608440377e-02°)
7.58577575029182e+01	(-4.00008624210743e+01dB,-7.05754466590225e-02°)
7.76247116628690e+01	(-4.00008592153362e+01dB,-7.22491549337844e-02°)
7.94328234724279e+01	(-4.00008558595825e+01dB,-7.39611732613787e-02°)
8.12830516164097e+01	(-4.00008523466952e+01dB,-7.57124095596688e-02°)
8.31763771102669e+01	(-4.00008486692231e+01dB,-7.75037925537382e-02°)
8.51138038202374e+01	(-4.00008448193652e+01dB,-7.93362722691037e-02°)
8.70963589956078e+01	(-4.00008407889554e+01dB,-8.12108205365796e-02°)
8.91250938133743e+01	(-4.00008365694446e+01dB,-8.31284315085123e-02°)
9.12010839355907e+01	(-4.00008321518824e+01dB,-8.50901221871209e-02°)
9.33254300796988e+01	(-4.00008275268982e+01dB,-8.70969329649485e-02°)
