Freq.	I(R9)
1.00000000000000e+01	(-4.00009768775464e+01dB,-8.02380507794815e-02°)
1.02329299228075e+01	(-4.00009761091966e+01dB,-8.23324727661777e-02°)
1.04712854805090e+01	(-4.00009753659314e+01dB,-8.44705564483157e-02°)
1.07151930523761e+01	(-4.00009746461773e+01dB,-8.66534349695902e-02°)
1.09647819614319e+01	(-4.00009739484104e+01dB,-8.88822652602706e-02°)
1.12201845430196e+01	(-4.00009732711529e+01dB,-9.11582286475025e-02°)
1.14815362149688e+01	(-4.00009726129709e+01dB,-9.34825314807273e-02°)
1.17489755493953e+01	(-4.00009719724703e+01dB,-9.58564057687054e-02°)
1.20226443461741e+01	(-4.00009713482943e+01dB,-9.82811098311138e-02°)
1.23026877081238e+01	(-4.00009707391208e+01dB,-1.00757928964337e-01°)
1.25892541179417e+01	(-4.00009701436590e+01dB,-1.03288176121063e-01°)
1.28824955169313e+01	(-4.00009695606475e+01dB,-1.05873192605496e-01°)
1.31825673855641e+01	(-4.00009689888509e+01dB,-1.08514348782958e-01°)
1.34896288259165e+01	(-4.00009684270575e+01dB,-1.11213044805319e-01°)
1.38038426460288e+01	(-4.00009678740766e+01dB,-1.13970711352689e-01°)
1.41253754462275e+01	(-4.00009673287368e+01dB,-1.16788810390329e-01°)
1.44543977074593e+01	(-4.00009667898819e+01dB,-1.19668835943536e-01°)
1.47910838816821e+01	(-4.00009662563700e+01dB,-1.22612314888662e-01°)
1.51356124843621e+01	(-4.00009657270699e+01dB,-1.25620807762233e-01°)
1.54881661891248e+01	(-4.00009652008598e+01dB,-1.28695909587265e-01°)
1.58489319246111e+01	(-4.00009646766242e+01dB,-1.31839250718952e-01°)
1.62181009735893e+01	(-4.00009641532515e+01dB,-1.35052497708176e-01°)
1.65958690743756e+01	(-4.00009636296322e+01dB,-1.38337354184906e-01°)
1.69824365246174e+01	(-4.00009631046565e+01dB,-1.41695561761158e-01°)
1.73780082874937e+01	(-4.00009625772110e+01dB,-1.45128900953844e-01°)
1.77827941003892e+01	(-4.00009620461772e+01dB,-1.48639192129093e-01°)
1.81970085860998e+01	(-4.00009615104294e+01dB,-1.52228296466653e-01°)
1.86208713666287e+01	(-4.00009609688313e+01dB,-1.55898116947172e-01°)
1.90546071796325e+01	(-4.00009604202349e+01dB,-1.59650599360631e-01°)
1.94984459975804e+01	(-4.00009598634765e+01dB,-1.63487733338609e-01°)
1.99526231496888e+01	(-4.00009592973755e+01dB,-1.67411553408635e-01°)
2.04173794466953e+01	(-4.00009587207314e+01dB,-1.71424140073585e-01°)
2.08929613085404e+01	(-4.00009581323214e+01dB,-1.75527620914754e-01°)
2.13796208950223e+01	(-4.00009575308978e+01dB,-1.79724171720141e-01°)
2.18776162394955e+01	(-4.00009569151849e+01dB,-1.84016017638730e-01°)
2.23872113856834e+01	(-4.00009562838772e+01dB,-1.88405434360234e-01°)
2.29086765276777e+01	(-4.00009556356358e+01dB,-1.92894749322359e-01°)
2.34422881531992e+01	(-4.00009549690856e+01dB,-1.97486342945594e-01°)
2.39883291901949e+01	(-4.00009542828135e+01dB,-2.02182649895520e-01°)
2.45470891568503e+01	(-4.00009535753639e+01dB,-2.06986160374699e-01°)
2.51188643150958e+01	(-4.00009528452361e+01dB,-2.11899421443654e-01°)
2.57039578276886e+01	(-4.00009520908823e+01dB,-2.16925038372200e-01°)
2.63026799189538e+01	(-4.00009513107021e+01dB,-2.22065676021610e-01°)
2.69153480392691e+01	(-4.00009505030412e+01dB,-2.27324060258948e-01°)
2.75422870333816e+01	(-4.00009496661866e+01dB,-2.32702979403006e-01°)
2.81838293126445e+01	(-4.00009487983638e+01dB,-2.38205285704136e-01°)
2.88403150312660e+01	(-4.00009478977319e+01dB,-2.43833896857920e-01°)
2.95120922666638e+01	(-4.00009469623812e+01dB,-2.49591797553406e-01°)
3.01995172040201e+01	(-4.00009459903279e+01dB,-2.55482041057656e-01°)
3.09029543251359e+01	(-4.00009449795105e+01dB,-2.61507750835513e-01°)
3.16227766016838e+01	(-4.00009439277854e+01dB,-2.67672122208345e-01°)
3.23593656929628e+01	(-4.00009428329223e+01dB,-2.73978424049536e-01°)
3.31131121482591e+01	(-4.00009416925994e+01dB,-2.80430000520280e-01°)
3.38844156139202e+01	(-4.00009405043981e+01dB,-2.87030272844671e-01°)
3.46736850452531e+01	(-4.00009392657987e+01dB,-2.93782741126457e-01°)
3.54813389233575e+01	(-4.00009379741749e+01dB,-3.00690986207012e-01°)
3.63078054770101e+01	(-4.00009366267873e+01dB,-3.07758671567085e-01°)
3.71535229097172e+01	(-4.00009352207790e+01dB,-3.14989545272324e-01°)
3.80189396320561e+01	(-4.00009337531683e+01dB,-3.22387441963608e-01°)
3.89045144994280e+01	(-4.00009322208429e+01dB,-3.29956284893834e-01°)
3.98107170553497e+01	(-4.00009306205537e+01dB,-3.37700088012006e-01°)
4.07380277804112e+01	(-4.00009289489071e+01dB,-3.45622958095112e-01°)
4.16869383470335e+01	(-4.00009272023587e+01dB,-3.53729096930496e-01°)
4.26579518801592e+01	(-4.00009253772051e+01dB,-3.62022803547853e-01°)
4.36515832240165e+01	(-4.00009234695761e+01dB,-3.70508476503966e-01°)
4.46683592150962e+01	(-4.00009214754270e+01dB,-3.79190616220119e-01°)
4.57088189614874e+01	(-4.00009193905293e+01dB,-3.88073827373975e-01°)
4.67735141287197e+01	(-4.00009172104627e+01dB,-3.97162821347395e-01°)
4.78630092322638e+01	(-4.00009149306050e+01dB,-4.06462418730840e-01°)
4.89778819368445e+01	(-4.00009125461223e+01dB,-4.15977551886636e-01°)
5.01187233627271e+01	(-4.00009100519594e+01dB,-4.25713267571584e-01°)
5.12861383991364e+01	(-4.00009074428281e+01dB,-4.35674729621149e-01°)
5.24807460249772e+01	(-4.00009047131971e+01dB,-4.45867221695930e-01°)
5.37031796370252e+01	(-4.00009018572796e+01dB,-4.56296150092756e-01°)
5.49540873857623e+01	(-4.00008988690214e+01dB,-4.66967046620861e-01°)
5.62341325190348e+01	(-4.00008957420873e+01dB,-4.77885571546043e-01°)
5.75439937337156e+01	(-4.00008924698493e+01dB,-4.89057516603055e-01°)
5.88843655355588e+01	(-4.00008890453707e+01dB,-5.00488808078991e-01°)
6.02559586074357e+01	(-4.00008854613926e+01dB,-5.12185509968634e-01°)
6.16595001861481e+01	(-4.00008817103184e+01dB,-5.24153827203886e-01°)
6.30957344480192e+01	(-4.00008777841976e+01dB,-5.36400108958915e-01°)
6.45654229034654e+01	(-4.00008736747086e+01dB,-5.48930852032855e-01°)
6.60693448007595e+01	(-4.00008693731421e+01dB,-5.61752704311979e-01°)
6.76082975391980e+01	(-4.00008648703813e+01dB,-5.74872468313104e-01°)
6.91830970918935e+01	(-4.00008601568844e+01dB,-5.88297104810596e-01°)
7.07945784384136e+01	(-4.00008552226621e+01dB,-6.02033736548494e-01°)
7.24435960074988e+01	(-4.00008500572593e+01dB,-6.16089652039959e-01°)
7.41310241300916e+01	(-4.00008446497300e+01dB,-6.30472309456690e-01°)
7.58577575029182e+01	(-4.00008389886167e+01dB,-6.45189340609544e-01°)
7.76247116628690e+01	(-4.00008330619256e+01dB,-6.60248555023392e-01°)
7.94328234724279e+01	(-4.00008268570995e+01dB,-6.75657944108351e-01°)
8.12830516164097e+01	(-4.00008203609939e+01dB,-6.91425685429277e-01°)
8.31763771102669e+01	(-4.00008135598474e+01dB,-7.07560147076558e-01°)
8.51138038202374e+01	(-4.00008064392533e+01dB,-7.24069892140311e-01°)
8.70963589956078e+01	(-4.00007989841299e+01dB,-7.40963683290705e-01°)
8.91250938133743e+01	(-4.00007911786869e+01dB,-7.58250487466873e-01°)
9.12010839355907e+01	(-4.00007830063941e+01dB,-7.75939480677255e-01°)
9.33254300796988e+01	(-4.00007744499449e+01dB,-7.94040052914129e-01°)
9.54992586021433e+01	(-4.00007654912215e+01dB,-8.12561813185037e-01°)
9.77237220955808e+01	(-4.00007561112552e+01dB,-8.31514594664030e-01°)
9.99999999999997e+01	(-4.00007462901870e+01dB,-8.50908459966135e-01°)
1.02329299228075e+02	(-4.00007360072260e+01dB,-8.70753706547406e-01°)
1.04712854805090e+02	(-4.00007252406060e+01dB,-8.91060872234355e-01°)
1.07151930523760e+02	(-4.00007139675386e+01dB,-9.11840740885833e-01°)
1.09647819614318e+02	(-4.00007021641660e+01dB,-9.33104348190516e-01°)
1.12201845430196e+02	(-4.00006898055111e+01dB,-9.54862987603787e-01°)
1.14815362149688e+02	(-4.00006768654241e+01dB,-9.77128216427344e-01°)
1.17489755493953e+02	(-4.00006633165289e+01dB,-9.99911862035239e-01°)
1.20226443461741e+02	(-4.00006491301644e+01dB,-1.02322602825015e+00°)
1.23026877081238e+02	(-4.00006342763254e+01dB,-1.04708310187369e+00°)
1.25892541179416e+02	(-4.00006187235982e+01dB,-1.07149575937511e+00°)
1.28824955169313e+02	(-4.00006024390965e+01dB,-1.09647697374172e+00°)
1.31825673855640e+02	(-4.00005853883916e+01dB,-1.12204002149625e+00°)
1.34896288259165e+02	(-4.00005675354406e+01dB,-1.14819848988477e+00°)
1.38038426460288e+02	(-4.00005488425104e+01dB,-1.17496628424018e+00°)
1.41253754462275e+02	(-4.00005292700996e+01dB,-1.20235763552562e+00°)
1.44543977074592e+02	(-4.00005087768560e+01dB,-1.23038710806270e+00°)
1.47910838816820e+02	(-4.00004873194890e+01dB,-1.25906960744981e+00°)
1.51356124843620e+02	(-4.00004648526809e+01dB,-1.28842038867494e+00°)
1.54881661891248e+02	(-4.00004413289922e+01dB,-1.31845506442914e+00°)
1.58489319246111e+02	(-4.00004166987612e+01dB,-1.34918961362563e+00°)
1.62181009735892e+02	(-4.00003909100026e+01dB,-1.38064039013015e+00°)
1.65958690743755e+02	(-4.00003639082989e+01dB,-1.41282413170870e+00°)
1.69824365246174e+02	(-4.00003356366863e+01dB,-1.44575796919871e+00°)
1.73780082874937e+02	(-4.00003060355376e+01dB,-1.47945943590952e+00°)
1.77827941003892e+02	(-4.00002750424393e+01dB,-1.51394647725913e+00°)
1.81970085860998e+02	(-4.00002425920604e+01dB,-1.54923746065390e+00°)
1.86208713666286e+02	(-4.00002086160187e+01dB,-1.58535118561784e+00°)
1.90546071796324e+02	(-4.00001730427391e+01dB,-1.62230689417889e+00°)
1.94984459975804e+02	(-4.00001357973067e+01dB,-1.66012428152002e+00°)
1.99526231496887e+02	(-4.00000968013110e+01dB,-1.69882350690242e+00°)
2.04173794466952e+02	(-4.00000559726864e+01dB,-1.73842520486902e+00°)
2.08929613085403e+02	(-4.00000132255421e+01dB,-1.77895049673715e+00°)
2.13796208950222e+02	(-3.99999684699865e+01dB,-1.82042100238833e+00°)
2.18776162394954e+02	(-3.99999216119444e+01dB,-1.86285885236456e+00°)
2.23872113856833e+02	(-3.99998725529620e+01dB,-1.90628670028132e+00°)
2.29086765276776e+02	(-3.99998211900091e+01dB,-1.95072773556536e+00°)
2.34422881531991e+02	(-3.99997674152674e+01dB,-1.99620569652928e+00°)
2.39883291901948e+02	(-3.99997111159111e+01dB,-2.04274488379260e+00°)
2.45470891568502e+02	(-3.99996521738801e+01dB,-2.09037017406021e+00°)
2.51188643150957e+02	(-3.99995904656395e+01dB,-2.13910703427042e+00°)
2.57039578276885e+02	(-3.99995258619301e+01dB,-2.18898153612457e+00°)
2.63026799189537e+02	(-3.99994582275097e+01dB,-2.24002037100991e+00°)
2.69153480392690e+02	(-3.99993874208790e+01dB,-2.29225086533044e+00°)
2.75422870333816e+02	(-3.99993132940009e+01dB,-2.34570099625757e+00°)
2.81838293126444e+02	(-3.99992356920026e+01dB,-2.40039940791662e+00°)
2.88403150312659e+02	(-3.99991544528684e+01dB,-2.45637542802340e+00°)
2.95120922666637e+02	(-3.99990694071176e+01dB,-2.51365908498606e+00°)
3.01995172040200e+02	(-3.99989803774687e+01dB,-2.57228112549008e+00°)
3.09029543251358e+02	(-3.99988871784918e+01dB,-2.63227303258163e+00°)
3.16227766016837e+02	(-3.99987896162410e+01dB,-2.69366704426991e+00°)
3.23593656929627e+02	(-3.99986874878782e+01dB,-2.75649617266430e+00°)
3.31131121482590e+02	(-3.99985805812757e+01dB,-2.82079422366900e+00°)
3.38844156139201e+02	(-3.99984686746049e+01dB,-2.88659581725432e+00°)
3.46736850452530e+02	(-3.99983515359086e+01dB,-2.95393640832657e+00°)
3.54813389233574e+02	(-3.99982289226538e+01dB,-3.02285230822053e+00°)
3.63078054770100e+02	(-3.99981005812696e+01dB,-3.09338070683710e+00°)
3.71535229097171e+02	(-3.99979662466621e+01dB,-3.16555969545382e+00°)
3.80189396320559e+02	(-3.99978256417158e+01dB,-3.23942829023118e+00°)
3.89045144994279e+02	(-3.99976784767702e+01dB,-3.31502645644794e+00°)
3.98107170553495e+02	(-3.99975244490790e+01dB,-3.39239513349018e+00°)
4.07380277804111e+02	(-3.99973632422495e+01dB,-3.47157626062785e+00°)
4.16869383470333e+02	(-3.99971945256567e+01dB,-3.55261280361219e+00°)
4.26579518801591e+02	(-3.99970179538421e+01dB,-3.63554878212570e+00°)
4.36515832240164e+02	(-3.99968331658827e+01dB,-3.72042929812577e+00°)
4.46683592150961e+02	(-3.99966397847449e+01dB,-3.80730056511537e+00°)
4.57088189614873e+02	(-3.99964374166097e+01dB,-3.89620993838581e+00°)
4.67735141287196e+02	(-3.99962256501784e+01dB,-3.98720594627232e+00°)
4.78630092322636e+02	(-3.99960040559526e+01dB,-4.08033832246817e+00°)
4.89778819368444e+02	(-3.99957721854912e+01dB,-4.17565803944637e+00°)
5.01187233627270e+02	(-3.99955295706432e+01dB,-4.27321734303849e+00°)
5.12861383991362e+02	(-3.99952757227573e+01dB,-4.37306978822449e+00°)
5.24807460249770e+02	(-3.99950101318677e+01dB,-4.47527027619115e+00°)
5.37031796370250e+02	(-3.99947322658541e+01dB,-4.57987509271929e+00°)
5.49540873857622e+02	(-3.99944415695803e+01dB,-4.68694194796203e+00°)
5.62341325190346e+02	(-3.99941374640110e+01dB,-4.79653001768248e+00°)
5.75439937337154e+02	(-3.99938193453023e+01dB,-4.90869998602320e+00°)
5.88843655355586e+02	(-3.99934865838747e+01dB,-5.02351408988140e+00°)
6.02559586074355e+02	(-3.99931385234641e+01dB,-5.14103616497046e+00°)
6.16595001861479e+02	(-3.99927744801537e+01dB,-5.26133169365413e+00°)
