Freq.	I(R9)
1.00000000000000e+01	9.99891379447125e-03,-7.83184466952397e-07
1.25892541179417e+01	9.99892081071686e-03,-1.38324670016217e-06
1.58489319246111e+01	9.99892592021935e-03,-2.05704798645581e-06
1.99526231496888e+01	9.99893022473457e-03,-2.84043332512470e-06
2.51188643150958e+01	9.99893465294493e-03,-3.77510268230430e-06
3.16227766016838e+01	9.99894016050401e-03,-4.91082266379778e-06
3.98107170553497e+01	9.99894793615454e-03,-6.30807282775036e-06
5.01187233627272e+01	9.99895965825740e-03,-8.04126561282065e-06
6.30957344480193e+01	9.99897785705232e-03,-1.02027109450834e-05
7.94328234724282e+01	9.99900646082529e-03,-1.29075375843526e-05
1.00000000000000e+02	9.99905164389437e-03,-1.62998360233957e-05
1.25892541179417e+02	9.99912315949908e-03,-2.05603559675762e-05
1.58489319246111e+02	9.99923644545330e-03,-2.59161802994073e-05
1.99526231496888e+02	9.99941595743489e-03,-3.26529147337507e-05
2.51188643150958e+02	9.99970045034599e-03,-4.11300903328321e-05
3.16227766016838e+02	1.00001513500800e-02,-5.18006950378701e-05
3.98107170553497e+02	1.00008660286679e-02,-6.52360659412656e-05
5.01187233627273e+02	1.00019988631089e-02,-8.21578508519848e-05
6.30957344480194e+02	1.00037946607972e-02,-1.03479507373103e-04
7.94328234724282e+02	1.00066417602746e-02,-1.30361084674722e-04
1.00000000000000e+03	1.00111565049246e-02,-1.64283289156948e-04
1.25892541179417e+03	1.00183179160152e-02,-2.07150997225724e-04
1.58489319246111e+03	1.00296831246482e-02,-2.61444345721055e-04
1.99526231496888e+03	1.00477338130938e-02,-3.30451292974366e-04
2.51188643150958e+03	1.00764378844134e-02,-4.18647764195103e-04
3.16227766016838e+03	1.01221713809449e-02,-5.32359843930450e-04
3.98107170553498e+03	1.01952596027841e-02,-6.80994348573763e-04
5.01187233627273e+03	1.03126209738352e-02,-8.79482711308256e-04
6.30957344480194e+03	1.05024606000188e-02,-1.15350020263822e-03
7.94328234724283e+03	1.08129300614399e-02,-1.55162196527376e-03
1.00000000000000e+04	1.13284614637906e-02,-2.17696523536711e-03
1.25892541179417e+04	1.21975465036401e-02,-3.28261485574546e-03
1.58489319246112e+04	1.36279030938358e-02,-5.61859414655758e-03
1.99526231496888e+04	1.49864678730573e-02,-1.18565553253263e-02
2.51188643150958e+04	4.03709081967909e-03,-2.38826342779124e-02
3.16227766016839e+04	-9.78359603437227e-03,-1.06543722161471e-02
3.98107170553498e+04	-6.19564075160488e-03,-3.01212332057906e-03
5.01187233627273e+04	-3.51951672120848e-03,-1.06363795029380e-03
6.30957344480195e+04	-2.08639770427401e-03,-4.39981013426574e-04
7.94328234724283e+04	-1.29031938424302e-03,-2.00713801981166e-04
1.00000000000000e+05	-8.28277729207709e-04,-9.81893143817396e-05
1.25892541179417e+05	-5.51826837775560e-04,-5.11645345125328e-05
1.58489319246112e+05	-3.83149751185799e-04,-2.86695027643827e-05
1.99526231496888e+05	-2.78949879255934e-04,-1.76752753285561e-05
2.51188643150959e+05	-2.14079334826880e-04,-1.23406012237724e-05
3.16227766016839e+05	-1.73499846961370e-04,-9.94304486970504e-06
3.98107170553498e+05	-1.48045305733822e-04,-9.19150016384722e-06
5.01187233627273e+05	-1.32060654136248e-04,-9.48066811881265e-06
6.30957344480195e+05	-1.22031957687519e-04,-1.05479335866785e-05
7.94328234724283e+05	-1.15769240229034e-04,-1.23120069039632e-05
1.00000000000000e+06	-1.11910582146669e-04,-1.47971090815135e-05
1.25892541179417e+06	-1.09618902816818e-04,-1.80987415825876e-05
1.58489319246112e+06	-1.08397456864069e-04,-2.23702188138020e-05
1.99526231496888e+06	-1.07980722741325e-04,-2.78196382068899e-05
2.51188643150959e+06	-1.08275431486937e-04,-3.47115329817140e-05
3.16227766016839e+06	-1.09337589851891e-04,-4.33688651436674e-05
3.98107170553498e+06	-1.11378288480355e-04,-5.41702876250725e-05
5.01187233627274e+06	-1.14794997769290e-04,-6.75349193644696e-05
6.30957344480195e+06	-1.20225829803941e-04,-8.38820792171143e-05
7.94328234724284e+06	-1.28620428471109e-04,-1.03546362866239e-04
1.00000000000000e+07	-1.41308906311429e-04,-1.26619587754910e-04
