time	I(R9)
0.000000000000000e+00	4.534956e-03
1.953125022824409e-10	4.534882e-03
3.906250045648818e-10	4.534794e-03
7.812500091297636e-10	4.534600e-03
1.562500018259527e-09	4.534230e-03
3.125000036519054e-09	4.533620e-03
6.250000073038109e-09	4.532764e-03
1.250000014607622e-08	4.531683e-03
2.500000029215244e-08	4.530183e-03
5.000000058430487e-08	4.527546e-03
1.000000000000000e-07	4.522349e-03
1.049999999415695e-07	4.523305e-03
1.149999998247085e-07	4.524261e-03
1.349999995909866e-07	4.524664e-03
1.749999991235427e-07	4.524807e-03
2.549999981886549e-07	4.525279e-03
4.149999963188792e-07	4.526836e-03
7.349999925793281e-07	4.532384e-03
1.374999985100226e-06	4.552490e-03
2.654999970142021e-06	4.622803e-03
5.214999940225612e-06	4.840625e-03
1.011305057983641e-05	5.364974e-03
1.290150214914090e-05	5.674860e-03
1.452351735310719e-05	5.834599e-03
1.606525125928137e-05	5.956323e-03
1.718834783237320e-05	6.019127e-03
1.878346722427613e-05	6.066474e-03
2.039420150938149e-05	6.071684e-03
2.288171793322522e-05	6.011240e-03
2.537659755957706e-05	5.888637e-03
2.655410832255494e-05	5.809533e-03
2.746983234458803e-05	5.741026e-03
2.858165126265080e-05	5.656642e-03
2.909113493067814e-05	5.618626e-03
2.943274211779759e-05	5.593791e-03
2.975027233705856e-05	5.571205e-03
3.022660659278078e-05	5.538183e-03
3.066298817955161e-05	5.509181e-03
3.153575135309328e-05	5.454962e-03
3.252610710153010e-05	5.401343e-03
3.450681859840373e-05	5.319005e-03
3.668303160105044e-05	5.264374e-03
3.890151063088234e-05	5.251915e-03
4.142407469753504e-05	5.285735e-03
4.480902997972898e-05	5.380227e-03
4.916181409276825e-05	5.524084e-03
5.340078490118551e-05	5.640012e-03
5.659426083811167e-05	5.689460e-03
5.813024235681565e-05	5.693099e-03
6.037377842454745e-05	5.676772e-03
6.169446335608031e-05	5.659200e-03
6.294417853728997e-05	5.636930e-03
6.442303163795188e-05	5.607198e-03
6.676851851814225e-05	5.559005e-03
6.930340206087777e-05	5.512059e-03
7.189429860412403e-05	5.476601e-03
7.489521136478016e-05	5.456371e-03
7.820541690995879e-05	5.459274e-03
8.216253664598057e-05	5.487123e-03
8.598095519837545e-05	5.525064e-03
8.911071695813210e-05	5.553985e-03
9.239909884440701e-05	5.574032e-03
9.514881152814097e-05	5.579721e-03
9.790801697143035e-05	5.574755e-03
1.013302753238557e-04	5.559398e-03
1.044767200237731e-04	5.541737e-03
1.076455706299334e-04	5.525953e-03
1.118094761585869e-04	5.514205e-03
1.164623156375875e-04	5.514281e-03
1.223230097313174e-04	5.527019e-03
1.270920579982193e-04	5.539352e-03
1.320922891838600e-04	5.546623e-03
1.371472844370242e-04	5.545252e-03
1.438789493656622e-04	5.536483e-03
1.505582501025931e-04	5.529399e-03
1.570163890965848e-04	5.529049e-03
1.644346154793879e-04	5.533870e-03
1.732681822295474e-04	5.537945e-03
1.819813752801897e-04	5.536865e-03
1.937972859555758e-04	5.533526e-03
2.058230932236913e-04	5.533726e-03
2.218533013729610e-04	5.535481e-03
2.408216378865127e-04	5.534815e-03
2.602391631742716e-04	5.534421e-03
2.797704131742716e-04	5.535135e-03
2.993016631742716e-04	5.534813e-03
3.188329131742716e-04	5.534581e-03
3.383641631742716e-04	5.534999e-03
3.578954131742717e-04	5.534816e-03
3.774266631742717e-04	5.534674e-03
3.969579131742717e-04	5.534919e-03
4.164891631742717e-04	5.534815e-03
4.360204131742717e-04	5.534729e-03
4.555516631742717e-04	5.534873e-03
4.750829131742718e-04	5.534814e-03
4.946141631742717e-04	5.534761e-03
5.141454131742717e-04	5.534846e-03
5.336766631742718e-04	5.534812e-03
5.532079131742718e-04	5.534780e-03
5.727391631742718e-04	5.534831e-03
5.922704131742718e-04	5.534811e-03
6.118016631742718e-04	5.534791e-03
6.313329131742718e-04	5.534821e-03
6.508641631742719e-04	5.534810e-03
6.703954131742719e-04	5.534798e-03
6.899266631742719e-04	5.534816e-03
7.094579131742719e-04	5.534809e-03
7.289891631742719e-04	5.534802e-03
7.485204131742719e-04	5.534812e-03
7.680516631742720e-04	5.534809e-03
7.875829131742720e-04	5.534804e-03
8.071141631742720e-04	5.534810e-03
8.266454131742720e-04	5.534808e-03
8.461766631742720e-04	5.534805e-03
8.657079131742720e-04	5.534809e-03
8.852391631742721e-04	5.534808e-03
9.047704131742721e-04	5.534806e-03
9.243016631742721e-04	5.534808e-03
9.438329131742721e-04	5.534807e-03
9.633641631742721e-04	5.534806e-03
9.828954131742720e-04	5.534807e-03
1.002426663174272e-03	5.534807e-03
1.041489163174272e-03	5.534807e-03
1.061020413174272e-03	5.534806e-03
1.100082913174272e-03	5.534806e-03
4.967270413174252e-03	5.534785e-03
4.980568750000001e-03	5.534792e-03
4.980868750000002e-03	5.534783e-03
4.981268750000003e-03	5.534785e-03
4.985885485851251e-03	5.534785e-03
4.991115305848433e-03	5.534782e-03
4.991415305848434e-03	5.534786e-03
4.992615305848437e-03	5.534785e-03
4.996999999999992e-03	5.534784e-03
4.997199999999992e-03	5.534785e-03
4.997599999999994e-03	5.534785e-03
4.997999999999995e-03	5.534785e-03
4.998399999999996e-03	5.534785e-03
4.998799999999997e-03	5.534785e-03
4.999199999999998e-03	5.534785e-03
4.999599999999999e-03	5.534785e-03
5.000000000000000e-03	5.534785e-03
5.000100000000000e-03	5.534790e-03
5.000108662967161e-03	5.537658e-03
5.000125988901481e-03	5.541646e-03
5.000160640770122e-03	5.546681e-03
5.000165031718412e-03	5.547210e-03
5.000173813614991e-03	5.548250e-03
5.000183392035221e-03	5.549395e-03
5.000192313100101e-03	5.550467e-03
5.000200000000001e-03	5.551394e-03
5.000200768689991e-03	5.551107e-03
5.000202306069971e-03	5.550536e-03
5.000205380829931e-03	5.549625e-03
5.000211530349850e-03	5.548557e-03
5.000223829389690e-03	5.547694e-03
5.000247476022426e-03	5.547261e-03
5.000277492092503e-03	5.547094e-03
5.000457385209234e-03	5.545582e-03
5.000697242698209e-03	5.541699e-03
5.001176957676159e-03	5.527877e-03
5.002136387632060e-03	5.480484e-03
5.003752845582559e-03	5.360780e-03
5.005448693215227e-03	5.195653e-03
5.007713225899105e-03	4.942700e-03
5.010671487673804e-03	4.617046e-03
5.013720290421162e-03	4.331587e-03
5.016234720892202e-03	4.163820e-03
5.018486021552116e-03	4.083234e-03
5.020838665435317e-03	4.067971e-03
5.023233130591825e-03	4.116857e-03
5.026754834050799e-03	4.263020e-03
5.031201003290672e-03	4.488796e-03
5.034915658467328e-03	4.662545e-03
5.037652141356080e-03	4.750016e-03
5.040133202919907e-03	4.783126e-03
5.042484682778330e-03	4.774199e-03
5.044956218672217e-03	4.730992e-03
5.047414046519926e-03	4.666225e-03
5.050254000561129e-03	4.581841e-03
5.052924620424730e-03	4.507664e-03
5.055311741965223e-03	4.455387e-03
5.057736145573924e-03	4.421716e-03
5.060137898879258e-03	4.410457e-03
5.063494982279798e-03	4.425087e-03
5.067312483178888e-03	4.467510e-03
5.072694460621184e-03	4.540859e-03
5.076305793106389e-03	4.580575e-03
5.079633252037143e-03	4.598047e-03
5.083210017175046e-03	4.594745e-03
5.087420338353815e-03	4.571514e-03
5.091568152745545e-03	4.541426e-03
5.096182330756637e-03	4.514025e-03
5.100649916604798e-03	4.503136e-03
5.105793695700488e-03	4.509718e-03
5.111063197696180e-03	4.526637e-03
5.118740151818930e-03	4.548085e-03
5.124067968403158e-03	4.551526e-03
5.129900107639981e-03	4.543482e-03
5.136366756371524e-03	4.531912e-03
5.143046864049993e-03	4.526442e-03
5.150514156107673e-03	4.529768e-03
5.158720471734268e-03	4.536486e-03
5.168617764898085e-03	4.538806e-03
5.178983560055661e-03	4.535208e-03
5.189748826164662e-03	4.532649e-03
5.201283365975797e-03	4.534286e-03
5.214824367366300e-03	4.536064e-03
5.230529557997045e-03	4.534972e-03
5.247286018545444e-03	4.534325e-03
5.266817268545444e-03	4.535213e-03
5.286348518545443e-03	4.535053e-03
5.305879768545443e-03	4.534645e-03
5.325411018545442e-03	4.535053e-03
5.344942268545442e-03	4.535031e-03
5.364473518545442e-03	4.534771e-03
5.384004768545441e-03	4.534977e-03
5.403536018545441e-03	4.535002e-03
5.423067268545440e-03	4.534843e-03
5.442598518545440e-03	4.534942e-03
5.462129768545440e-03	4.534977e-03
5.481661018545439e-03	4.534884e-03
5.501192268545439e-03	4.534929e-03
5.520723518545438e-03	4.534959e-03
5.540254768545438e-03	4.534907e-03
5.559786018545437e-03	4.534924e-03
5.579317268545437e-03	4.534947e-03
5.598848518545437e-03	4.534919e-03
5.618379768545436e-03	4.534924e-03
5.637911018545436e-03	4.534939e-03
5.657442268545435e-03	4.534924e-03
5.676973518545435e-03	4.534925e-03
5.696504768545435e-03	4.534935e-03
5.716036018545434e-03	4.534927e-03
5.735567268545434e-03	4.534926e-03
5.755098518545433e-03	4.534932e-03
5.774629768545433e-03	4.534928e-03
5.794161018545432e-03	4.534927e-03
5.813692268545432e-03	4.534930e-03
5.833223518545432e-03	4.534929e-03
5.852754768545431e-03	4.534928e-03
5.872286018545431e-03	4.534930e-03
5.891817268545430e-03	4.534929e-03
5.911348518545430e-03	4.534928e-03
5.930879768545430e-03	4.534929e-03
5.950411018545429e-03	4.534929e-03
5.989473518545428e-03	4.534929e-03
6.009004768545428e-03	4.534929e-03
6.098290482831141e-03	4.534929e-03
6.187576197116853e-03	4.534929e-03
6.276861911402565e-03	4.534929e-03
6.366147625688277e-03	4.534929e-03
6.455433339973990e-03	4.534929e-03
6.544719054259703e-03	4.534929e-03
6.634004768545415e-03	4.534929e-03
9.996228890176479e-03	4.534929e-03
9.999900000000001e-03	4.534929e-03
1.000000000000000e-02	4.534925e-03
1.000001000000000e-02	4.532727e-03
1.000003000000000e-02	4.529709e-03
1.000006000000000e-02	4.526451e-03
1.000010000000000e-02	4.522225e-03
1.000010400000000e-02	4.523132e-03
1.000011200000000e-02	4.524109e-03
1.000012800000000e-02	4.524588e-03
1.000016000000000e-02	4.524720e-03
1.000035200000000e-02	4.526098e-03
1.000060800000000e-02	4.529778e-03
1.000111999999999e-02	4.543091e-03
1.000214399999999e-02	4.590491e-03
1.000419199999997e-02	4.745367e-03
1.000828799999995e-02	5.161271e-03
1.001233313698656e-02	5.611863e-03
1.001440716703844e-02	5.820301e-03
1.001631686671499e-02	5.968355e-03
1.001768908710181e-02	6.036926e-03
1.001935888815427e-02	6.072698e-03
1.002091783155163e-02	6.065451e-03
1.002348703486927e-02	5.987242e-03
1.002571711507833e-02	5.867494e-03
1.002680233978873e-02	5.791903e-03
1.002776862912315e-02	5.719171e-03
1.002888081348745e-02	5.635113e-03
1.002928750473746e-02	5.605066e-03
1.002958911826666e-02	5.583352e-03
1.002988625582756e-02	5.562399e-03
1.003029967376524e-02	5.533936e-03
1.003067788488575e-02	5.508837e-03
1.003143430712679e-02	5.461479e-03
1.003229891058231e-02	5.413225e-03
1.003402811749336e-02	5.336737e-03
1.003629839833276e-02	5.271749e-03
1.003846407026577e-02	5.250825e-03
1.004085194607328e-02	5.274368e-03
1.004406822287841e-02	5.356648e-03
1.004814354185934e-02	5.491120e-03
1.005239185651897e-02	5.616948e-03
1.005589136059433e-02	5.683967e-03
1.005743718763201e-02	5.693467e-03
1.005958019079713e-02	5.682990e-03
1.006179662943739e-02	5.656372e-03
1.006306364995444e-02	5.634461e-03
1.006458414000189e-02	5.603738e-03
1.006692714649726e-02	5.555709e-03
1.006940280999762e-02	5.510388e-03
1.007203978318888e-02	5.475129e-03
1.007502511372584e-02	5.456101e-03
1.007839013877261e-02	5.460226e-03
1.008235230633581e-02	5.488883e-03
1.008597191624875e-02	5.525137e-03
1.008897791923570e-02	5.553166e-03
1.009216862176629e-02	5.573349e-03
1.009475120890249e-02	5.579736e-03
1.009736368084990e-02	5.576252e-03
1.010066579852927e-02	5.562636e-03
1.010369855667683e-02	5.545871e-03
1.010675746761878e-02	5.529613e-03
1.011052189087348e-02	5.516290e-03
1.011479354973679e-02	5.512973e-03
1.012065136042079e-02	5.522808e-03
1.012554556867414e-02	5.535606e-03
1.013073157290646e-02	5.545513e-03
1.013545992606305e-02	5.546745e-03
1.014039630033007e-02	5.541238e-03
1.014608092238361e-02	5.532979e-03
1.015184438165224e-02	5.528359e-03
1.015759988315959e-02	5.529511e-03
1.016740673875639e-02	5.535805e-03
1.017625058279085e-02	5.538042e-03
1.018448229654250e-02	5.535904e-03
1.019570837487687e-02	5.533163e-03
1.020682945493651e-02	5.533977e-03
1.022203971814103e-02	5.535581e-03
1.023798457036985e-02	5.534845e-03
1.025739360396406e-02	5.534438e-03
1.027692485396406e-02	5.535088e-03
1.029645610396406e-02	5.534772e-03
1.031598735396406e-02	5.534580e-03
1.033551860396406e-02	5.534960e-03
1.035504985396406e-02	5.534780e-03
1.037458110396406e-02	5.534662e-03
1.039411235396406e-02	5.534886e-03
1.041364360396406e-02	5.534783e-03
1.043317485396406e-02	5.534710e-03
1.045270610396406e-02	5.534843e-03
1.047223735396406e-02	5.534784e-03
1.049176860396406e-02	5.534739e-03
1.051129985396406e-02	5.534817e-03
1.053083110396406e-02	5.534784e-03
1.055036235396406e-02	5.534757e-03
1.056989360396406e-02	5.534803e-03
1.058942485396406e-02	5.534783e-03
1.060895610396406e-02	5.534767e-03
1.062848735396406e-02	5.534793e-03
1.064801860396406e-02	5.534783e-03
1.066754985396406e-02	5.534773e-03
1.068708110396406e-02	5.534788e-03
1.070661235396406e-02	5.534782e-03
1.072614360396405e-02	5.534776e-03
1.074567485396405e-02	5.534785e-03
1.076520610396405e-02	5.534782e-03
1.078473735396405e-02	5.534777e-03
1.080426860396405e-02	5.534783e-03
1.082379985396405e-02	5.534781e-03
1.084333110396405e-02	5.534779e-03
1.086286235396405e-02	5.534782e-03
1.088239360396405e-02	5.534781e-03
1.090192485396405e-02	5.534779e-03
1.092145610396405e-02	5.534781e-03
1.094098735396405e-02	5.534780e-03
