time	I(R9)
0.000000000000000e+00	4.534956e-03
3.906250045648818e-10	4.534956e-03
7.812500091297636e-10	4.534956e-03
1.562500018259527e-09	4.534955e-03
3.125000036519054e-09	4.534955e-03
1.250000014607622e-08	4.534954e-03
5.000000058430487e-08	4.534951e-03
1.000000011686097e-07	4.534948e-03
2.000000023372195e-07	4.534941e-03
4.000000046744390e-07	4.534929e-03
8.000000093488779e-07	4.534905e-03
1.600000018697756e-06	4.534868e-03
3.200000037395512e-06	4.534860e-03
6.400000074791024e-06	4.535281e-03
1.280000014958205e-05	4.538144e-03
2.154681617580185e-05	4.547056e-03
3.223838797397723e-05	4.567018e-03
4.593257547028853e-05	4.606823e-03
6.461882462828434e-05	4.680091e-03
8.415007462828435e-05	4.772325e-03
1.036813246282843e-04	4.874222e-03
1.232125746282843e-04	4.979376e-03
1.427438246282843e-04	5.082769e-03
1.622750746282843e-04	5.180521e-03
1.818063246282843e-04	5.269523e-03
2.013375746282843e-04	5.347287e-03
2.208688246282843e-04	5.411889e-03
2.404000746282843e-04	5.461967e-03
2.599313246282843e-04	5.496676e-03
2.794625746282843e-04	5.515631e-03
2.989938246282843e-04	5.518832e-03
3.185250746282844e-04	5.506583e-03
3.380563246282844e-04	5.479437e-03
3.575875746282844e-04	5.438148e-03
3.771188246282844e-04	5.383635e-03
3.966500746282844e-04	5.316963e-03
4.161813246282844e-04	5.239320e-03
4.357125746282845e-04	5.151994e-03
4.552438246282845e-04	5.056360e-03
4.747750746282845e-04	4.953853e-03
4.943063246282845e-04	4.845953e-03
5.138375746282845e-04	4.734166e-03
5.333688246282845e-04	4.620012e-03
5.529000746282845e-04	4.505004e-03
5.724313246282845e-04	4.390647e-03
5.919625746282845e-04	4.278427e-03
6.114938246282846e-04	4.169808e-03
6.310250746282846e-04	4.066223e-03
6.505563246282846e-04	3.969071e-03
6.700875746282846e-04	3.879706e-03
6.896188246282846e-04	3.799418e-03
7.091500746282846e-04	3.729413e-03
7.286813246282847e-04	3.670233e-03
7.448043735030558e-04	3.630896e-03
7.630683021087456e-04	3.597790e-03
7.825995521087456e-04	3.575202e-03
8.021308021087456e-04	3.566384e-03
8.216620521087456e-04	3.571743e-03
8.411933021087456e-04	3.591239e-03
8.607245521087457e-04	3.624621e-03
8.802558021087457e-04	3.671434e-03
8.997870521087457e-04	3.731045e-03
9.193183021087457e-04	3.802660e-03
9.388495521087457e-04	3.885343e-03
9.583808021087457e-04	3.978032e-03
9.779120521087458e-04	4.079545e-03
9.974433021087458e-04	4.188584e-03
1.016974552108746e-03	4.303725e-03
1.036505802108746e-03	4.423413e-03
1.056037052108746e-03	4.545946e-03
1.075568302108746e-03	4.669465e-03
1.095099552108746e-03	4.791961e-03
1.114630802108746e-03	4.911291e-03
1.134162052108746e-03	5.025228e-03
1.153693302108746e-03	5.131544e-03
1.173224552108746e-03	5.228103e-03
1.192755802108746e-03	5.312980e-03
1.212287052108746e-03	5.384563e-03
1.231818302108746e-03	5.442362e-03
1.247666240545389e-03	5.477926e-03
1.264132532309472e-03	5.502750e-03
1.283663782309472e-03	5.517689e-03
1.303195032309472e-03	5.517517e-03
1.322726282309472e-03	5.501996e-03
1.342257532309472e-03	5.471728e-03
1.361788782309472e-03	5.427507e-03
1.381320032309472e-03	5.370282e-03
1.400851282309472e-03	5.301145e-03
1.420382532309472e-03	5.221307e-03
1.439913782309472e-03	5.132076e-03
1.459445032309472e-03	5.034840e-03
1.478976282309472e-03	4.931047e-03
1.498507532309472e-03	4.822182e-03
1.518038782309472e-03	4.709759e-03
1.537570032309472e-03	4.595294e-03
1.557101282309472e-03	4.480300e-03
1.576632532309472e-03	4.366278e-03
1.596163782309472e-03	4.254710e-03
1.615695032309472e-03	4.147053e-03
1.635226282309472e-03	4.044735e-03
1.654757532309472e-03	3.949146e-03
1.674288782309472e-03	3.861627e-03
1.693820032309472e-03	3.783452e-03
1.713351282309472e-03	3.715807e-03
1.732882532309472e-03	3.659262e-03
1.749399098323280e-03	3.620979e-03
1.764776655084890e-03	3.594742e-03
1.784307905084890e-03	3.573862e-03
1.803839155084890e-03	3.566280e-03
1.823370405084890e-03	3.572881e-03
1.842901655084891e-03	3.593607e-03
1.862432905084891e-03	3.628186e-03
1.881964155084891e-03	3.676147e-03
1.901495405084891e-03	3.736842e-03
1.921026655084891e-03	3.809464e-03
1.940557905084891e-03	3.893067e-03
1.960089155084891e-03	3.986577e-03
1.979620405084891e-03	4.088802e-03
1.999151655084891e-03	4.198433e-03
2.018682905084891e-03	4.314036e-03
2.038214155084891e-03	4.434043e-03
2.057745405084891e-03	4.556738e-03
2.077276655084891e-03	4.680251e-03
2.096807905084891e-03	4.802557e-03
2.116339155084891e-03	4.921504e-03
2.135870405084891e-03	5.034864e-03
2.155401655084891e-03	5.140408e-03
2.174932905084891e-03	5.236019e-03
2.194464155084891e-03	5.319793e-03
2.213995405084891e-03	5.390149e-03
2.233526655084891e-03	5.446420e-03
2.250447875305415e-03	5.483042e-03
2.265729283287843e-03	5.504858e-03
2.285260533287843e-03	5.518261e-03
2.304791783287843e-03	5.516817e-03
2.324323033287843e-03	5.500065e-03
2.343854283287843e-03	5.468625e-03
2.363385533287843e-03	5.423302e-03
2.382916783287843e-03	5.365061e-03
2.402448033287843e-03	5.295003e-03
2.421979283287843e-03	5.214346e-03
2.441510533287843e-03	5.124408e-03
2.461041783287843e-03	5.026581e-03
2.480573033287843e-03	4.922316e-03
2.500104283287843e-03	4.813104e-03
2.519635533287843e-03	4.700457e-03
2.539166783287843e-03	4.585892e-03
2.558698033287843e-03	4.470922e-03
2.578229283287843e-03	4.357045e-03
2.597760533287843e-03	4.245742e-03
2.617291783287843e-03	4.138469e-03
2.636823033287843e-03	4.036650e-03
2.656354283287843e-03	3.941671e-03
2.675885533287843e-03	3.854868e-03
2.695416783287843e-03	3.777511e-03
2.714948033287843e-03	3.710777e-03
2.734479283287843e-03	3.655386e-03
2.751998908996493e-03	3.616163e-03
2.768254827541201e-03	3.590039e-03
2.787786077541201e-03	3.571483e-03
2.807317327541201e-03	3.566420e-03
2.826848577541201e-03	3.575546e-03
2.846379827541201e-03	3.598764e-03
2.865911077541201e-03	3.635765e-03
2.885442327541201e-03	3.686046e-03
2.904973577541201e-03	3.748928e-03
2.924504827541201e-03	3.823578e-03
2.944036077541201e-03	3.909027e-03
2.963567327541201e-03	4.004180e-03
2.983098577541201e-03	4.107823e-03
3.002629827541202e-03	4.218626e-03
3.022161077541202e-03	4.335132e-03
3.041692327541202e-03	4.455748e-03
3.061223577541202e-03	4.578730e-03
3.080754827541202e-03	4.702180e-03
3.100286077541202e-03	4.824048e-03
3.119817327541202e-03	4.942165e-03
3.139348577541202e-03	5.054294e-03
3.158879827541202e-03	5.158219e-03
3.178411077541202e-03	5.251854e-03
3.197942327541202e-03	5.333344e-03
3.217473577541202e-03	5.401175e-03
3.237004827541202e-03	5.454226e-03
3.256536077541202e-03	5.491871e-03
