time	I(R9)
0.000000000000000e+00	4.534956e-03
1.953125022824409e-10	4.534882e-03
3.906250045648818e-10	4.534794e-03
7.812500091297636e-10	4.534600e-03
1.562500018259527e-09	4.534230e-03
3.125000036519054e-09	4.533620e-03
6.250000073038109e-09	4.532764e-03
1.250000014607622e-08	4.531683e-03
2.500000029215244e-08	4.530180e-03
5.000000058430487e-08	4.527529e-03
1.000000000000000e-07	4.522286e-03
1.049999999415695e-07	4.523234e-03
1.149999998247085e-07	4.524173e-03
1.349999995909866e-07	4.524533e-03
1.749999991235427e-07	4.524557e-03
2.549999981886549e-07	4.524640e-03
4.149999963188792e-07	4.524829e-03
7.349999925793281e-07	4.525340e-03
1.374999985100226e-06	4.526849e-03
2.654999970142021e-06	4.531559e-03
5.214999940225612e-06	4.545989e-03
1.033499988039279e-05	4.585993e-03
1.881218675627879e-05	4.666463e-03
2.746146194488890e-05	4.756624e-03
3.824921593479365e-05	4.872354e-03
4.961114557460867e-05	4.991616e-03
6.482702711463432e-05	5.139672e-03
8.179086229923104e-05	5.279603e-03
1.013221122992310e-04	5.399753e-03
1.208533622992311e-04	5.476114e-03
1.403846122992311e-04	5.516175e-03
1.599158622992310e-04	5.533353e-03
1.767955298901705e-04	5.538022e-03
1.950342029921027e-04	5.538414e-03
2.123688112850157e-04	5.537489e-03
2.319000612850157e-04	5.536319e-03
2.514313112850157e-04	5.535495e-03
2.709625612850157e-04	5.535041e-03
2.904938112850157e-04	5.534840e-03
3.100250612850157e-04	5.534775e-03
3.295563112850157e-04	5.534767e-03
3.490875612850157e-04	5.534777e-03
3.686188112850158e-04	5.534788e-03
3.881500612850158e-04	5.534796e-03
4.076813112850158e-04	5.534799e-03
4.272125612850158e-04	5.534801e-03
4.467438112850158e-04	5.534802e-03
4.662750612850158e-04	5.534801e-03
1.007569704142158e-03	5.534798e-03
1.548864346999301e-03	5.534795e-03
2.090158989856443e-03	5.534792e-03
2.631453632713585e-03	5.534789e-03
3.172748275570728e-03	5.534786e-03
3.714042918427870e-03	5.534783e-03
4.255337561285011e-03	5.534780e-03
4.991936764580061e-03	5.534776e-03
4.996209803460223e-03	5.534776e-03
4.996509803460224e-03	5.534777e-03
4.997709803460228e-03	5.534776e-03
4.998499999999996e-03	5.534778e-03
4.998558820761398e-03	5.534776e-03
4.998758252496900e-03	5.534776e-03
4.998957684232402e-03	5.534776e-03
4.999157115967903e-03	5.534776e-03
4.999356547703406e-03	5.534776e-03
4.999555979438908e-03	5.534776e-03
4.999755411174409e-03	5.534776e-03
4.999954842909911e-03	5.534776e-03
5.000029057459467e-03	5.534776e-03
5.000100000000000e-03	5.534773e-03
5.000107094254054e-03	5.537298e-03
5.000121282762160e-03	5.540867e-03
5.000149659778373e-03	5.545312e-03
5.000166913717844e-03	5.547461e-03
5.000200000000001e-03	5.551467e-03
5.000203308628217e-03	5.550447e-03
5.000209925884648e-03	5.549040e-03
5.000223160397510e-03	5.547880e-03
5.000249629423236e-03	5.547400e-03
5.000275006427430e-03	5.547345e-03
5.000427268452593e-03	5.547163e-03
5.000630284486145e-03	5.546843e-03
5.001036316553248e-03	5.545964e-03
5.001848380687453e-03	5.543320e-03
5.003472508955863e-03	5.535022e-03
5.006720765492684e-03	5.510399e-03
5.012157296272578e-03	5.456637e-03
5.017442223310541e-03	5.395737e-03
5.025343699218085e-03	5.298515e-03
5.034734252482685e-03	5.183286e-03
5.045722865203940e-03	5.055080e-03
5.058217313767807e-03	4.924413e-03
5.073053339547747e-03	4.796332e-03
5.089989996758556e-03	4.688779e-03
5.109521246758555e-03	4.609322e-03
5.129052496758555e-03	4.564351e-03
5.143755556968750e-03	4.547034e-03
5.157199587564146e-03	4.539419e-03
5.171196995299889e-03	4.535741e-03
5.188635128384958e-03	4.534030e-03
5.208166378384957e-03	4.533696e-03
5.227697628384957e-03	4.533971e-03
5.247228878384956e-03	4.534336e-03
5.266760128384956e-03	4.534611e-03
5.286291378384956e-03	4.534779e-03
5.305822628384955e-03	4.534868e-03
5.325353878384955e-03	4.534909e-03
5.344885128384954e-03	4.534926e-03
5.364416378384954e-03	4.534931e-03
5.383947628384953e-03	4.534932e-03
5.403478878384953e-03	4.534931e-03
5.481603878384951e-03	4.534929e-03
5.531827092670665e-03	4.534929e-03
5.582050306956378e-03	4.534929e-03
5.632273521242091e-03	4.534929e-03
5.682496735527804e-03	4.534929e-03
5.732719949813518e-03	4.534929e-03
5.782943164099231e-03	4.534929e-03
5.833166378384944e-03	4.534929e-03
9.995157364605796e-03	4.534929e-03
9.996800000000019e-03	4.534929e-03
9.999689031885467e-03	4.534929e-03
9.999789031885467e-03	4.534929e-03
9.999821936229071e-03	4.534929e-03
9.999912255083723e-03	4.534929e-03
1.000000000000000e-02	4.534925e-03
1.000000877449163e-02	4.532889e-03
1.000002632347488e-02	4.530138e-03
1.000006142144139e-02	4.526290e-03
1.000010000000000e-02	4.522162e-03
1.000010385785586e-02	4.523047e-03
1.000011157356758e-02	4.524007e-03
1.000012700499102e-02	4.524465e-03
1.000015786783791e-02	4.524517e-03
1.000034304491921e-02	4.524711e-03
1.000058994769428e-02	4.525059e-03
1.000108375324442e-02	4.526057e-03
1.000207136434470e-02	4.529128e-03
1.000404658654525e-02	4.538692e-03
1.000799703094636e-02	4.566551e-03
1.001589791974859e-02	4.637427e-03
1.002404505710938e-02	4.720252e-03
1.003454986179521e-02	4.832597e-03
1.004509309883904e-02	4.944660e-03
1.005946931539779e-02	5.089661e-03
1.007516902251385e-02	5.228611e-03
1.009470027251385e-02	5.363947e-03
1.011423152251385e-02	5.455188e-03
1.013376277251385e-02	5.506107e-03
1.015329402251385e-02	5.529666e-03
1.017012253009636e-02	5.537006e-03
1.018837998438009e-02	5.538543e-03
1.020518461544773e-02	5.537928e-03
1.022471586544773e-02	5.536697e-03
1.024424711544773e-02	5.535724e-03
1.026377836544773e-02	5.535143e-03
1.028330961544772e-02	5.534865e-03
1.030284086544772e-02	5.534762e-03
1.032237211544772e-02	5.534740e-03
1.034190336544772e-02	5.534746e-03
1.036143461544772e-02	5.534757e-03
1.038096586544772e-02	5.534766e-03
1.040049711544772e-02	5.534772e-03
1.042002836544772e-02	5.534774e-03
1.043955961544772e-02	5.534775e-03
1.045909086544772e-02	5.534775e-03
1.049815336544772e-02	5.534774e-03
1.065719354401915e-02	5.534773e-03
1.081623372259057e-02	5.534772e-03
1.097527390116200e-02	5.534771e-03
1.113431407973342e-02	5.534770e-03
1.129335425830485e-02	5.534770e-03
1.145239443687627e-02	5.534769e-03
1.161143461544770e-02	5.534768e-03
1.497080961544763e-02	5.534750e-03
1.498056875000000e-02	5.534752e-03
1.498060769268575e-02	5.534750e-03
1.498065961626676e-02	5.534750e-03
1.499954834499305e-02	5.534750e-03
1.499973059796770e-02	5.534749e-03
1.499974528621665e-02	5.534750e-03
1.499976487054859e-02	5.534750e-03
1.500003044590640e-02	5.534750e-03
1.500010000000000e-02	5.534752e-03
1.500010695540936e-02	5.537251e-03
1.500012086622808e-02	5.540797e-03
1.500014868786552e-02	5.545200e-03
1.500016817096943e-02	5.547628e-03
1.500020000000000e-02	5.551477e-03
1.500020318290305e-02	5.550481e-03
1.500020954870917e-02	5.549087e-03
1.500022228032139e-02	5.547903e-03
1.500024774354584e-02	5.547385e-03
1.500027219768771e-02	5.547322e-03
1.500041892253893e-02	5.547150e-03
1.500061455567388e-02	5.546846e-03
1.500100582194379e-02	5.546017e-03
1.500178835448360e-02	5.543528e-03
1.500335341956323e-02	5.535723e-03
1.500648354972249e-02	5.512416e-03
1.501187001822966e-02	5.459790e-03
1.501697939892833e-02	5.401314e-03
1.502469854958028e-02	5.306509e-03
1.503405935093722e-02	5.191457e-03
1.504488459893227e-02	5.064499e-03
1.505730073287791e-02	4.933333e-03
1.507191341737493e-02	4.805044e-03
1.508875017080954e-02	4.695313e-03
1.510804625913716e-02	4.613840e-03
1.512757750913716e-02	4.566775e-03
1.514286286937182e-02	4.547773e-03
1.515605288686300e-02	4.539837e-03
1.517003981161187e-02	4.535922e-03
1.518706032442099e-02	4.534082e-03
1.520659157442099e-02	4.533664e-03
1.522612282442099e-02	4.533914e-03
1.524565407442099e-02	4.534283e-03
1.526518532442099e-02	4.534567e-03
1.528471657442099e-02	4.534742e-03
1.530424782442099e-02	4.534836e-03
1.532377907442099e-02	4.534881e-03
1.534331032442099e-02	4.534898e-03
1.536284157442099e-02	4.534904e-03
1.538237282442098e-02	4.534905e-03
1.540190407442098e-02	4.534905e-03
1.542143532442098e-02	4.534904e-03
1.546049782442098e-02	4.534903e-03
1.551909157442098e-02	4.534903e-03
1.673002907442096e-02	4.534903e-03
1.999990000000000e-02	4.534903e-03
2.000000000000000e-02	4.534903e-03
