Freq.	I(R9)
1.00000000000000e+01	9.99876992640784e-03,-2.88566002432668e-05
1.25892541179417e+01	9.99874044111333e-03,-3.67247675264841e-05
1.58489319246111e+01	9.99868771073204e-03,-4.65486479533837e-05
1.99526231496888e+01	9.99860035261853e-03,-5.88512714693102e-05
2.51188643150958e+01	9.99845951094906e-03,-7.42875995380456e-05
3.16227766016838e+01	9.99823478710903e-03,-9.36793058985780e-05
3.98107170553497e+01	9.99787768008070e-03,-1.18058351498739e-04
5.01187233627272e+01	9.99731112269776e-03,-1.48721583708070e-04
6.30957344480193e+01	9.99641285992183e-03,-1.87299090511766e-04
7.94328234724282e+01	9.99498909340077e-03,-2.35839598678284e-04
1.00000000000000e+02	9.99273273384312e-03,-2.96916764316198e-04
1.25892541179417e+02	9.98915732624762e-03,-3.73760622336850e-04
1.58489319246111e+02	9.98349257733522e-03,-4.70418417609394e-04
1.99526231496888e+02	9.97451941591293e-03,-5.91947852204824e-04
2.51188643150958e+02	9.96031019208264e-03,-7.44642040180128e-04
3.16227766016838e+02	9.93782097004411e-03,-9.36276313306293e-04
3.98107170553497e+02	9.90225552060387e-03,-1.17634680454924e-03
5.01187233627273e+02	9.84608281077992e-03,-1.47622840982641e-03
6.30957344480194e+02	9.75754368828454e-03,-1.84909432620544e-03
7.94328234724282e+02	9.61844373902378e-03,-2.30927279134958e-03
1.00000000000000e+03	9.40105238254612e-03,-2.87040546369000e-03
1.25892541179417e+03	9.06416803316739e-03,-3.54123110743884e-03
1.58489319246111e+03	8.54925448349327e-03,-4.31701360190847e-03
1.99526231496888e+03	7.77983951395441e-03,-5.16391454796169e-03
2.51188643150958e+03	6.67233250761331e-03,-5.99479661538239e-03
3.16227766016838e+03	5.17354541574417e-03,-6.64357182599073e-03
3.98107170553498e+03	3.33804798071172e-03,-6.86988740093283e-03
5.01187233627273e+03	1.41290248487881e-03,-6.45421387830880e-03
6.30957344480194e+03	-1.96481430656168e-04,-5.38821057306548e-03
7.94328234724283e+03	-1.16716315821433e-03,-3.97153943356852e-03
1.00000000000000e+04	-1.48622055800848e-03,-2.62057189689173e-03
1.25892541179417e+04	-1.38513878226174e-03,-1.59039706475018e-03
1.58489319246112e+04	-1.11698328309288e-03,-9.14259971683247e-04
1.99526231496888e+04	-8.36969903864896e-04,-5.10789045825876e-04
2.51188643150958e+04	-6.07329719974956e-04,-2.83266639768088e-04
3.16227766016839e+04	-4.38915921447269e-04,-1.58761627709248e-04
3.98107170553498e+04	-3.22649706462421e-04,-9.13897540803526e-05
5.01187233627273e+04	-2.45143354356745e-04,-5.48131894608737e-05
6.30957344480195e+04	-1.94547461550274e-04,-3.46494607402958e-05
7.94328234724283e+04	-1.61939573240698e-04,-2.32544640215013e-05
1.00000000000000e+05	-1.41091062889403e-04,-1.66191723179567e-05
1.25892541179417e+05	-1.27827714383673e-04,-1.26500947208841e-05
1.58489319246112e+05	-1.19417283764719e-04,-1.02525695910185e-05
1.99526231496888e+05	-1.14096615661575e-04,-8.85267124049091e-06
2.51188643150959e+05	-1.10738094726410e-04,-8.15105514953154e-06
3.16227766016839e+05	-1.08625098015658e-04,-7.99730493468897e-06
3.98107170553498e+05	-1.07304846523909e-04,-8.32639525789588e-06
5.01187233627273e+05	-1.06493678838938e-04,-9.12720145266220e-06
6.30957344480195e+05	-1.06017017824655e-04,-1.04277440049898e-05
7.94328234724283e+05	-1.05772155181771e-04,-1.22894396325701e-05
1.00000000000000e+06	-1.05706244957806e-04,-1.48064869651437e-05
1.25892541179417e+06	-1.05804904461309e-04,-1.81084373832099e-05
1.58489319246112e+06	-1.06088970569257e-04,-2.23648862865640e-05
1.99526231496888e+06	-1.06618590485651e-04,-2.77914692531374e-05
2.51188643150959e+06	-1.07505182187483e-04,-3.46560663921993e-05
3.16227766016839e+06	-1.08933000194180e-04,-4.32831941696225e-05
3.98107170553498e+06	-1.11193006506017e-04,-5.40526924031165e-05
5.01187233627274e+06	-1.14732038262147e-04,-6.73855321058496e-05
6.30957344480195e+06	-1.20218832502288e-04,-8.37043612914983e-05
7.94328234724284e+06	-1.28623187968958e-04,-1.03348917443995e-04
1.00000000000000e+07	-1.41290995720328e-04,-1.26417190290540e-04
