Freq.	I(R9)
1.00000000000000e+01	(-4.00010323214685e+01dB,-1.65356021480580e-01°)
1.25892541179417e+01	(-4.00010355198234e+01dB,-2.10442978615756e-01°)
1.58489319246111e+01	(-4.00010457891762e+01dB,-2.66737183836530e-01°)
1.99526231496888e+01	(-4.00010653471625e+01dB,-3.37236254730802e-01°)
2.51188643150958e+01	(-4.00010984158063e+01dB,-4.25694338167744e-01°)
3.16227766016838e+01	(-4.00011521332332e+01dB,-5.36821940171088e-01°)
3.98107170553497e+01	(-4.00012380946559e+01dB,-6.76536673552602e-01°)
5.01187233627272e+01	(-4.00013748554609e+01dB,-8.52278224919702e-01°)
6.30957344480193e+01	(-4.00015919369138e+01dB,-1.07340423100952e+00°)
7.94328234724282e+01	(-4.00019361995879e+01dB,-1.35168799005748e+00°)
1.00000000000000e+02	(-4.00024819613533e+01dB,-1.70194420620132e+00°)
1.25892541179417e+02	(-4.00033470467223e+01dB,-2.14281547896666e+00°)
1.58489319246111e+02	(-4.00047182388383e+01dB,-2.69776019939700e+00°)
1.99526231496888e+02	(-4.00068916454812e+01dB,-3.39629201267974e+00°)
2.51188643150958e+02	(-4.00103367356329e+01dB,-4.27553192918118e+00°)
3.16227766016838e+02	(-4.00157979761745e+01dB,-5.38214579720812e+00°)
3.98107170553497e+02	(-4.00244562681481e+01dB,-6.77475010898916e+00°)
5.01187233627273e+02	(-4.00381856518210e+01dB,-8.52687279423306e+00°)
6.30957344480194e+02	(-4.00599621271697e+01dB,-1.07305404072076e+01°)
7.94328234724282e+02	(-4.00945159413209e+01dB,-1.35004998835833e+01°)
1.00000000000000e+03	(-4.01493740139837e+01dB,-1.69789031457717e+01°)
1.25892541179417e+03	(-4.02365249795086e+01dB,-2.13398233247915e+01°)
1.58489319246111e+03	(-4.03750584669882e+01dB,-2.67918536614683e+01°)
1.99526231496888e+03	(-4.05952377721982e+01dB,-3.35744538594955e+01°)
2.51188643150958e+03	(-4.09443288554098e+01dB,-4.19382967784288e+01°)
3.16227766016838e+03	(-4.14933772392975e+01dB,-5.20910555736219e+01°)
3.98107170553498e+03	(-4.23404908009422e+01dB,-6.40850876130439e+01°)
5.01187233627273e+03	(-4.35998421109924e+01dB,-7.76520751689366e+01°)
6.30957344480194e+03	(-4.53653378240218e+01dB,-9.20883688242602e+01°)
7.94328234724283e+03	(-4.76610587202826e+01dB,-1.06377102387509e+02°)
1.00000000000000e+04	(-5.04209361656268e+01dB,-1.19559131118926e+02°)
1.25892541179417e+04	(-5.35183792897053e+01dB,-1.31053876366504e+02°)
1.58489319246112e+04	(-5.68120171131714e+01dB,-1.40699393411071e+02°)
1.99526231496888e+04	(-6.01708500948210e+01dB,-1.48604965959525e+02°)
2.51188643150958e+04	(-6.34766721691125e+01dB,-1.54995029923586e+02°)
3.16227766016839e+04	(-6.66183757043590e+01dB,-1.60114280207171e+02°)
3.98107170553498e+04	(-6.94902153816114e+01dB,-1.64185353430361e+02°)
5.01187233627273e+04	(-7.19997236194130e+01dB,-1.67396180737183e+02°)
6.30957344480195e+04	(-7.40838674773663e+01dB,-1.69901347409919e+02°)
7.94328234724283e+04	(-7.57242958042084e+01dB,-1.71828211010827e+02°)
1.00000000000000e+05	(-7.69501675616403e+01dB,-1.73282062770044e+02°)
1.25892541179417e+05	(-7.78251738601961e+01dB,-1.74348293320604e+02°)
1.58489319246112e+05	(-7.84267614435099e+01dB,-1.75092904731184e+02°)
1.99526231496888e+05	(-7.88284782035367e+01dB,-1.75563351999132e+02°)
2.51188643150959e+05	(-7.90905927892127e+01dB,-1.75790243984821e+02°)
3.16227766016839e+05	(-7.92579196816230e+01dB,-1.75789310003628e+02°)
3.98107170553498e+05	(-7.93615423777266e+01dB,-1.75562984547509e+02°)
5.01187233627273e+05	(-7.94217384361386e+01dB,-1.75101349864982e+02°)
6.30957344480195e+05	(-7.94506743477155e+01dB,-1.74382504723832e+02°)
7.94328234724283e+05	(-7.94543370400227e+01dB,-1.73372642045021e+02°)
1.00000000000000e+06	(-7.94336029096089e+01dB,-1.72026342682787e+02°)
1.25892541179417e+06	(-7.93844976617648e+01dB,-1.70287965356851e+02°)
1.58489319246112e+06	(-7.92977523053828e+01dB,-1.68095638941545e+02°)
1.99526231496888e+06	(-7.91578526269785e+01dB,-1.65390234143898e+02°)
2.51188643150959e+06	(-7.89420354314579e+01dB,-1.62132418703974e+02°)
3.16227766016839e+06	(-7.86201853229738e+01dB,-1.58330206951118e+02°)
3.98107170553498e+06	(-7.81571812731160e+01dB,-1.54074874899231e+02°)
5.01187233627274e+06	(-7.75192245313732e+01dB,-1.49573019128423e+02°)
6.30957344480195e+06	(-7.66839076739855e+01dB,-1.45151793068397e+02°)
7.94328234724284e+06	(-7.56503333637019e+01dB,-1.41218072438504e+02°)
1.00000000000000e+07	(-7.44436813951813e+01dB,-1.38180070886777e+02°)
