Freq.	I(R9)
1.00000000000000e+01	(-4.00009434907343e+01dB,-4.48780391220736e-03°)
1.25892541179417e+01	(-4.00009373393707e+01dB,-7.92627513905041e-03°)
1.58489319246111e+01	(-4.00009328001411e+01dB,-1.17872826699281e-02°)
1.99526231496888e+01	(-4.00009288942283e+01dB,-1.62762249043118e-02°)
2.51188643150958e+01	(-4.00009247789271e+01dB,-2.16320486286363e-02°)
3.16227766016838e+01	(-4.00009195661018e+01dB,-2.81399213749708e-02°)
3.98107170553497e+01	(-4.00009121306201e+01dB,-3.61463930255093e-02°)
5.01187233627272e+01	(-4.00009008675477e+01dB,-4.60778418934085e-02°)
6.30957344480193e+01	(-4.00008833457375e+01dB,-5.84631831596587e-02°)
7.94328234724282e+01	(-4.00008557830610e+01dB,-7.39620500896075e-02°)
1.00000000000000e+02	(-4.00008122299981e+01dB,-9.33999560071715e-02°)
1.25892541179417e+02	(-4.00007432853399e+01dB,-1.17812326461744e-01°)
1.58489319246111e+02	(-4.00006340666975e+01dB,-1.48499781503643e-01°)
1.99526231496888e+02	(-4.00004609975434e+01dB,-1.87097682615314e-01°)
2.51188643150958e+02	(-4.00001867167234e+01dB,-2.35663789077270e-01°)
3.16227766016838e+02	(-3.99997520103167e+01dB,-2.96788973715617e-01°)
3.98107170553497e+02	(-3.99990630209405e+01dB,-3.73737457060922e-01°)
5.01187233627273e+02	(-3.99979709651287e+01dB,-4.70625152620724e-01°)
6.30957344480194e+02	(-3.99962399594083e+01dB,-5.92647869126149e-01°)
7.94328234724282e+02	(-3.99934959566390e+01dB,-7.46376021629634e-01°)
1.00000000000000e+03	(-3.99891456355677e+01dB,-9.40140565181510e-01°)
1.25892541179417e+03	(-3.99822473964569e+01dB,-1.18454883274291e+00°)
1.58489319246111e+03	(-3.99713057627996e+01dB,-1.49319434456662e+00°)
1.99526231496888e+03	(-3.99539426575243e+01dB,-1.88367276316782e+00°)
2.51188643150958e+03	(-3.99263691619799e+01dB,-2.37911083352860e+00°)
3.16227766016838e+03	(-3.98825299696025e+01dB,-3.01060850907264e+00°)
3.98107170553498e+03	(-3.98127008482361e+01dB,-3.82140629197704e+00°)
5.01187233627273e+03	(-3.97011467384501e+01dB,-4.87451380648517e+00°)
6.30957344480194e+03	(-3.95221035532773e+01dB,-6.26775509142243e+00°)
7.94328234724283e+03	(-3.92326132428835e+01dB,-8.16602152067172e+00°)
1.00000000000000e+04	(-3.87590934481345e+01dB,-1.08777960924243e+01°)
1.25892541179417e+04	(-3.79708767364889e+01dB,-1.50626191259754e+01°)
1.58489319246112e+04	(-3.66296357207759e+01dB,-2.24056701139999e+01°)
1.99526231496888e+04	(-3.43750238304200e+01dB,-3.83493096253938e+01°)
2.51188643150958e+04	(-3.23159995859201e+01dB,-8.04054913556076e+01°)
3.16227766016839e+04	(-3.67936691478239e+01dB,-1.32560342419404e+02°)
3.98107170553498e+04	(-4.32368277842915e+01dB,-1.54072454233184e+02°)
5.01187233627273e+04	(-4.86907716038818e+01dB,-1.63184586403808e+02°)
6.30957344480195e+04	(-5.34230955838341e+01dB,-1.68091900235890e+02°)
7.94328234724283e+04	(-5.76822209256098e+01dB,-1.71158295851739e+02°)
1.00000000000000e+05	(-6.15758727432479e+01dB,-1.73239345467568e+02°)
1.25892541179417e+05	(-6.51267681498875e+01dB,-1.74702768516437e+02°)
1.58489319246112e+05	(-6.83083811178709e+01dB,-1.75720769500186e+02°)
1.99526231496888e+05	(-7.10720746536758e+01dB,-1.76374378800657e+02°)
2.51188643150959e+05	(-7.33740976242820e+01dB,-1.76700836414338e+02°)
3.16227766016839e+05	(-7.51997779895034e+01dB,-1.76720042909196e+02°)
3.98107170553498e+05	(-7.65753988805891e+01dB,-1.76447310074307e+02°)
5.01187233627273e+05	(-7.75622057524996e+01dB,-1.75893765965502e+02°)
6.30957344480195e+05	(-7.82382022337790e+01dB,-1.75059870130809e+02°)
7.94328234724283e+05	(-7.86792923451312e+01dB,-1.73929437342736e+02°)
1.00000000000000e+06	(-7.89473060599895e+01dB,-1.72467893942868e+02°)
1.25892541179417e+06	(-7.90854872046472e+01dB,-1.70624701082714e+02°)
1.58489319246112e+06	(-7.91184847747825e+01dB,-1.68339445155192e+02°)
1.99526231496888e+06	(-7.90539721400790e+01dB,-1.65552768875355e+02°)
2.51188643150959e+06	(-7.88845321783476e+01dB,-1.62224903134365e+02°)
3.16227766016839e+06	(-7.85900303761030e+01dB,-1.58364197809867e+02°)
3.98107170553498e+06	(-7.81418757297958e+01dB,-1.54063422219047e+02°)
5.01187233627274e+06	(-7.75107437104740e+01dB,-1.49531321829504e+02°)
6.30957344480195e+06	(-7.66775442246942e+01dB,-1.45096352588784e+02°)
7.94328234724284e+06	(-7.56439348040920e+01dB,-1.41164065162069e+02°)
1.00000000000000e+07	(-7.44368872891035e+01dB,-1.38138129089644e+02°)
