Freq.	I(R9)
1.00000000000000e+01	(-4.00009768775464e+01dB,-8.02380507794815e-02°)
1.25892541179417e+01	(-4.00009701436590e+01dB,-1.03288176121063e-01°)
1.58489319246111e+01	(-4.00009646766242e+01dB,-1.31839250718937e-01°)
1.99526231496888e+01	(-4.00009592973755e+01dB,-1.67411553408641e-01°)
2.51188643150958e+01	(-4.00009528452361e+01dB,-2.11899421443659e-01°)
3.16227766016838e+01	(-4.00009439277854e+01dB,-2.67672122208339e-01°)
3.98107170553497e+01	(-4.00009306205537e+01dB,-3.37700088012005e-01°)
5.01187233627272e+01	(-4.00009100519594e+01dB,-4.25713267571586e-01°)
6.30957344480193e+01	(-4.00008777841976e+01dB,-5.36400108958919e-01°)
7.94328234724282e+01	(-4.00008268570995e+01dB,-6.75657944108355e-01°)
1.00000000000000e+02	(-4.00007462901870e+01dB,-8.50908459966136e-01°)
1.25892541179417e+02	(-4.00006187235982e+01dB,-1.07149575937511e+00°)
1.58489319246111e+02	(-4.00004166987612e+01dB,-1.34918961362564e+00°)
1.99526231496888e+02	(-4.00000968013110e+01dB,-1.69882350690243e+00°)
2.51188643150958e+02	(-3.99995904656395e+01dB,-2.13910703427043e+00°)
3.16227766016838e+02	(-3.99987896162410e+01dB,-2.69366704426992e+00°)
3.98107170553497e+02	(-3.99975244490790e+01dB,-3.39239513349020e+00°)
5.01187233627273e+02	(-3.99955295706432e+01dB,-4.27321734303851e+00°)
6.30957344480194e+02	(-3.99923937413878e+01dB,-5.38446785464234e+00°)
7.94328234724282e+02	(-3.99874888327515e+01dB,-6.78816642625613e+00°)
1.00000000000000e+03	(-3.99798790292312e+01dB,-8.56471542749234e+00°)
1.25892541179417e+03	(-3.99682323482817e+01dB,-1.08199323196164e+01°)
1.58489319246111e+03	(-3.99508221443791e+01dB,-1.36960667211945e+01°)
1.99526231496888e+03	(-3.99258944695527e+01dB,-1.73897366417098e+01°)
2.51188643150958e+03	(-3.98931956450818e+01dB,-2.21816795065346e+01°)
3.16227766016838e+03	(-3.98588335030156e+01dB,-2.84848117735664e+01°)
3.98107170553498e+03	(-3.98490455963153e+01dB,-3.69110447133153e+01°)
5.01187233627273e+03	(-3.99448908453829e+01dB,-4.83108403001683e+01°)
6.30957344480194e+03	(-4.03496407937302e+01dB,-6.35581959450715e+01°)
7.94328234724283e+03	(-4.14335645842028e+01dB,-8.25692774274842e+01°)
1.00000000000000e+04	(-4.35369128898209e+01dB,-1.02933264621415e+02°)
1.25892541179417e+04	(-4.65841372582273e+01dB,-1.21054670988490e+02°)
1.58489319246112e+04	(-5.01671923435249e+01dB,-1.35204361461104e+02°)
1.99526231496888e+04	(-5.39316008297655e+01dB,-1.45710309056034e+02°)
2.51188643150958e+04	(-5.76809231634572e+01dB,-1.53493063995760e+02°)
3.16227766016839e+04	(-6.13072269836938e+01dB,-1.59338200827992e+02°)
3.98107170553498e+04	(-6.47299859510383e+01dB,-1.63790676156655e+02°)
5.01187233627273e+04	(-6.78703706106843e+01dB,-1.67212154578337e+02°)
6.30957344480195e+04	(-7.06496803389132e+01dB,-1.69844280017394e+02°)
7.94328234724283e+04	(-7.30028655182225e+01dB,-1.71853244908330e+02°)
1.00000000000000e+05	(-7.48975866851409e+01dB,-1.73358974107321e+02°)
1.25892541179417e+05	(-7.63461059269361e+01dB,-1.74452830388193e+02°)
1.58489319246112e+05	(-7.74011144482258e+01dB,-1.75206064176293e+02°)
1.99526231496888e+05	(-7.81382473562326e+01dB,-1.75672267807807e+02°)
2.51188643150959e+05	(-7.86362513769460e+01dB,-1.75887841735329e+02°)
3.16227766016839e+05	(-7.89635560516587e+01dB,-1.75872821980677e+02°)
3.98107170553498e+05	(-7.91729923934265e+01dB,-1.75632265812859e+02°)
5.01187233627273e+05	(-7.93020127967682e+01dB,-1.75157569469991e+02°)
6.30957344480195e+05	(-7.93752213944878e+01dB,-1.74427320701147e+02°)
7.94328234724283e+05	(-7.94071546735547e+01dB,-1.73407754283771e+02°)
1.00000000000000e+06	(-7.94043791602853e+01dB,-1.72053285417161e+02°)
1.25892541179417e+06	(-7.93666307246440e+01dB,-1.70308035365396e+02°)
1.58489319246112e+06	(-7.92870268654239e+01dB,-1.68109897223832e+02°)
1.99526231496888e+06	(-7.91515735740546e+01dB,-1.65399549893803e+02°)
2.51188643150959e+06	(-7.89384692563198e+01dB,-1.62137542601980e+02°)
3.16227766016839e+06	(-7.86182059590307e+01dB,-1.58331865533543e+02°)
3.98107170553498e+06	(-7.81560527680533e+01dB,-1.54073866531174e+02°)
5.01187233627274e+06	(-7.75184756030942e+01dB,-1.49570268161028e+02°)
6.30957344480195e+06	(-7.66832630686838e+01dB,-1.45148306856494e+02°)
7.94328234724284e+06	(-7.56496697014960e+01dB,-1.41214785985074e+02°)
1.00000000000000e+07	(-7.44429829090060e+01dB,-1.38177651386140e+02°)
